id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes
1;NLB d.d.;Depozit 31-365 dni;1500;250000;EUR;31;365;days;0.45;0.1;0.55;regular;pdf;https://www.nlb.si/content/dam/nlb/pdf-files/osebne-finance/varcevanja-in-nalozbe/NLB-Depoziti-in-varcevanja-obrestne-mere-in-tarifa-za-prebivalstvo.pdf;2026-04-01;scraped via PDF
1;NLB d.d.;Depozit 13-24 M;1500;250000;EUR;13;24;months;1.1;0.1;1.2;regular;pdf;https://www.nlb.si/content/dam/nlb/pdf-files/osebne-finance/varcevanja-in-nalozbe/NLB-Depoziti-in-varcevanja-obrestne-mere-in-tarifa-za-prebivalstvo.pdf;2026-04-01;scraped via PDF
1;NLB d.d.;Depozit 25-60 M;1500;250000;EUR;25;60;months;0.7;0.1;0.8;regular;pdf;https://www.nlb.si/content/dam/nlb/pdf-files/osebne-finance/varcevanja-in-nalozbe/NLB-Depoziti-in-varcevanja-obrestne-mere-in-tarifa-za-prebivalstvo.pdf;2026-04-01;scraped via PDF
